,home_team,home_goals,away_goals,away_team,wcm,dif_inter_match,dif_inter_match_won,dif_inter_match_lost,dif_inter_match_tie,dif_inter_goals_sco,dif_inter_goals_con,dif_wc_match,dif_wc_match_won,dif_wc_match_lost,dif_wc_match_tied,dif_wc_goals_sco,dif_wc_goals_con,status
59,Paraguay,1,1,Argentina,0,-545.0,-412.0,-12.0,-121.0,-1330.0,-288.0,-54.0,-36.0,-13.0,-5.0,-107.0,-55.0,2
60,Netherlands,1,1,Germany,0,-106.0,-113.0,19.0,-12.0,-370.0,-56.0,-59.0,-40.0,-11.0,-8.0,-140.0,-77.0,2
61,Spain,1,1,Republic of Ireland,0,396.0,319.0,5.0,72.0,1068.0,185.0,50.0,28.0,15.0,7.0,89.0,62.0,2
62,Belgium,4,2,Netherlands,0,-14.0,-58.0,56.0,-12.0,-246.0,203.0,-2.0,-7.0,8.0,-3.0,-18.0,24.0,1
63,France,5,2,England,0,-169.0,-163.0,49.0,-55.0,-751.0,101.0,-3.0,5.0,0.0,-8.0,29.0,13.0,1
64,Belgium,1,4,England,0,-222.0,-231.0,77.0,-68.0,-829.0,205.0,-21.0,-9.0,0.0,-12.0,-23.0,8.0,3
65,Germany,0,6,Austria,0,624.0,421.0,67.0,136.0,1580.0,559.0,80.0,55.0,9.0,16.0,183.0,78.0,3
66,Switzerland,2,3,Scotland,0,377.0,110.0,184.0,83.0,518.0,727.0,14.0,8.0,5.0,1.0,25.0,23.0,3
67,Denmark,3,1,Norway,0,533.0,299.0,127.0,107.0,1124.0,543.0,12.0,7.0,3.0,2.0,23.0,18.0,1
68,Portugal,3,2,Belgium,0,-138.0,-33.0,-89.0,-16.0,-310.0,-457.0,-18.0,-6.0,-9.0,-3.0,-19.0,-37.0,1
69,Czechoslovakia,7,3,Switzerland,0,-617.0,-203.0,-280.0,-134.0,-867.0,-1083.0,-7.0,-1.0,-3.0,-3.0,-6.0,-19.0,1
70,Denmark,0,2,Netherlands,0,42.0,-22.0,69.0,-5.0,-149.0,152.0,-30.0,-18.0,-5.0,-7.0,-56.0,-22.0,3
71,Poland,0,4,Czechoslovakia,0,636.0,269.0,199.0,168.0,1080.0,861.0,4.0,5.0,-1.0,0.0,2.0,0.0,3
72,Austria,2,0,Switzerland,0,-545.0,-198.0,-220.0,-127.0,-773.0,-866.0,-8.0,0.0,-4.0,-4.0,-7.0,-17.0,1
73,Sweden,0,0,Germany,0,-503.0,-363.0,-40.0,-100.0,-1405.0,-452.0,-58.0,-48.0,-3.0,-7.0,-146.0,-52.0,2
74,Norway,2,2,Germany,0,-597.0,-434.0,-39.0,-124.0,-1643.0,-447.0,-101.0,-65.0,-19.0,-17.0,-219.0,-117.0,2
75,Sweden,3,1,Denmark,0,-439.0,-228.0,-128.0,-83.0,-886.0,-548.0,31.0,10.0,13.0,8.0,50.0,47.0,1
76,Argentina,1,1,Paraguay,0,545.0,412.0,12.0,121.0,1330.0,288.0,54.0,36.0,13.0,5.0,107.0,55.0,2
77,Argentina,3,1,Paraguay,0,545.0,412.0,12.0,121.0,1330.0,288.0,54.0,36.0,13.0,5.0,107.0,55.0,1
78,Poland,2,3,Romania,0,618.0,292.0,178.0,148.0,1163.0,796.0,13.0,8.0,5.0,0.0,16.0,13.0,3
79,Brazil,2,0,Uruguay,0,47.0,203.0,-132.0,-24.0,647.0,-259.0,53.0,49.0,-2.0,6.0,142.0,31.0,1
80,Austria,5,0,Germany,0,-624.0,-421.0,-67.0,-136.0,-1580.0,-559.0,-80.0,-55.0,-9.0,-16.0,-183.0,-78.0,1
81,Germany,4,2,Denmark,0,64.0,135.0,-88.0,17.0,519.0,-96.0,89.0,58.0,16.0,15.0,196.0,99.0,1
82,Belgium,2,1,Poland,0,-60.0,-14.0,3.0,-49.0,-22.0,62.0,14.0,4.0,6.0,4.0,22.0,27.0,1
83,Denmark,2,3,Finland,0,574.0,334.0,123.0,117.0,1246.0,563.0,20.0,9.0,6.0,5.0,30.0,26.0,3
84,Northern Ireland,2,6,England,0,-664.0,-509.0,-1.0,-154.0,-1882.0,-248.0,-56.0,-26.0,-14.0,-16.0,-78.0,-41.0,3
85,Poland,6,3,Yugoslavia,0,652.0,281.0,198.0,173.0,1082.0,833.0,-3.0,0.0,0.0,-3.0,-14.0,-1.0,1
86,Wales,2,3,Scotland,0,267.0,48.0,164.0,55.0,200.0,523.0,-18.0,-3.0,-11.0,-4.0,-21.0,-37.0,3
87,England,3,1,Wales,0,291.0,345.0,-135.0,81.0,1338.0,-161.0,64.0,28.0,18.0,18.0,87.0,60.0,1
88,France,3,4,Netherlands,0,39.0,10.0,28.0,1.0,-168.0,99.0,16.0,7.0,8.0,1.0,34.0,29.0,3
89,Switzerland,1,8,Austria,0,545.0,198.0,220.0,127.0,773.0,866.0,8.0,0.0,4.0,4.0,7.0,17.0,3
90,Northern Ireland,4,0,Wales,0,-373.0,-164.0,-136.0,-73.0,-544.0,-409.0,8.0,2.0,4.0,2.0,9.0,19.0,1
91,Belgium,2,1,Switzerland,0,-41.0,52.0,-78.0,-15.0,191.0,-160.0,11.0,8.0,2.0,1.0,18.0,8.0,1
92,England,7,1,Spain,0,310.0,171.0,65.0,74.0,826.0,372.0,6.0,-1.0,1.0,6.0,-8.0,-8.0,1
93,Republic of Ireland,0,5,Spain,0,-396.0,-319.0,-5.0,-72.0,-1068.0,-185.0,-50.0,-28.0,-15.0,-7.0,-89.0,-62.0,3
94,Italy,3,0,Switzerland,0,-438.0,-120.0,-259.0,-59.0,-595.0,-936.0,46.0,33.0,0.0,13.0,78.0,13.0,1
95,Germany,2,0,Switzerland,0,79.0,223.0,-153.0,9.0,807.0,-307.0,72.0,55.0,5.0,12.0,176.0,61.0,1
96,Belgium,1,4,Netherlands,0,-14.0,-58.0,56.0,-12.0,-246.0,203.0,-2.0,-7.0,8.0,-3.0,-18.0,24.0,3
97,Switzerland,3,3,France,0,-12.0,-120.0,106.0,2.0,-269.0,264.0,-29.0,-22.0,-2.0,-5.0,-70.0,-13.0,2
98,England,3,0,Scotland,0,558.0,393.0,29.0,136.0,1538.0,362.0,46.0,25.0,7.0,14.0,66.0,23.0,1
99,France,1,2,Italy,0,450.0,240.0,153.0,57.0,864.0,672.0,-17.0,-11.0,2.0,-8.0,-8.0,0.0,3
100,Netherlands,2,1,Belgium,0,14.0,58.0,-56.0,12.0,246.0,-203.0,2.0,7.0,-8.0,3.0,18.0,-24.0,1
101,Switzerland,5,1,Czechoslovakia,0,617.0,203.0,280.0,134.0,867.0,1083.0,7.0,1.0,3.0,3.0,6.0,19.0,1
102,Spain,2,1,Yugoslavia,0,504.0,327.0,59.0,118.0,1063.0,318.0,26.0,14.0,5.0,7.0,39.0,26.0,1
103,Belgium,5,2,France,0,-53.0,-68.0,28.0,-13.0,-78.0,104.0,-18.0,-14.0,0.0,-4.0,-52.0,-5.0,1
104,Portugal,3,2,Yugoslavia,0,454.0,234.0,112.0,108.0,750.0,438.0,-7.0,-2.0,-3.0,-2.0,-11.0,-11.0,1
105,France,1,3,Scotland,0,389.0,230.0,78.0,81.0,787.0,463.0,43.0,30.0,7.0,6.0,95.0,36.0,3
106,Netherlands,0,2,Republic of Ireland,0,498.0,317.0,91.0,90.0,1311.0,559.0,37.0,25.0,8.0,4.0,76.0,38.0,3
107,Argentina,2,0,Uruguay,0,69.0,128.0,-84.0,25.0,386.0,-115.0,25.0,19.0,3.0,3.0,50.0,19.0,1
108,Uruguay,1,0,Argentina,0,-69.0,-128.0,84.0,-25.0,-386.0,115.0,-25.0,-19.0,-3.0,-3.0,-50.0,-19.0,1
109,Netherlands,1,2,Czechoslovakia,0,590.0,313.0,146.0,131.0,1304.0,720.0,20.0,16.0,-3.0,7.0,42.0,3.0,3
110,Yugoslavia,0,3,Poland,0,-652.0,-281.0,-198.0,-173.0,-1082.0,-833.0,3.0,0.0,0.0,3.0,14.0,1.0,3
111,Denmark,3,4,Belgium,0,56.0,36.0,13.0,7.0,97.0,-51.0,-28.0,-11.0,-13.0,-4.0,-38.0,-46.0,3
112,Yugoslavia,2,1,France,0,-645.0,-335.0,-173.0,-137.0,-1138.0,-791.0,-29.0,-18.0,-6.0,-5.0,-60.0,-31.0,1
113,Bulgaria,3,5,France,0,-593.0,-344.0,-127.0,-122.0,-1202.0,-679.0,-40.0,-31.0,-4.0,-5.0,-98.0,-24.0,3
114,Romania,6,3,France,0,-611.0,-346.0,-153.0,-112.0,-1219.0,-754.0,-45.0,-26.0,-11.0,-8.0,-90.0,-45.0,1
115,Sweden,3,1,Belgium,0,-383.0,-192.0,-115.0,-76.0,-789.0,-599.0,3.0,-1.0,0.0,4.0,12.0,1.0,1
116,Denmark,3,1,Sweden,0,439.0,228.0,128.0,83.0,886.0,548.0,-31.0,-10.0,-13.0,-8.0,-50.0,-47.0,1
117,Switzerland,3,1,Hungary,0,502.0,165.0,221.0,116.0,634.0,803.0,5.0,-3.0,3.0,5.0,-37.0,7.0,1
118,Finland,1,4,Germany,0,-638.0,-469.0,-35.0,-134.0,-1765.0,-467.0,-109.0,-67.0,-22.0,-20.0,-226.0,-125.0,3
119,Poland,2,0,Sweden,0,443.0,206.0,112.0,125.0,811.0,537.0,-17.0,-3.0,-6.0,-8.0,-34.0,-28.0,1
120,Finland,4,2,Denmark,0,-574.0,-334.0,-123.0,-117.0,-1246.0,-563.0,-20.0,-9.0,-6.0,-5.0,-30.0,-26.0,1
121,Germany,4,3,Sweden,0,503.0,363.0,40.0,100.0,1405.0,452.0,58.0,48.0,3.0,7.0,146.0,52.0,1
122,Norway,1,2,Denmark,0,-533.0,-299.0,-127.0,-107.0,-1124.0,-543.0,-12.0,-7.0,-3.0,-2.0,-23.0,-18.0,3
123,Poland,2,1,Latvia,0,755.0,346.0,206.0,203.0,1354.0,951.0,34.0,16.0,13.0,5.0,46.0,45.0,1
124,Romania,0,5,Poland,0,-618.0,-292.0,-178.0,-148.0,-1163.0,-796.0,-13.0,-8.0,-5.0,0.0,-16.0,-13.0,3
125,England,1,0,Northern Ireland,0,664.0,509.0,1.0,154.0,1882.0,248.0,56.0,26.0,14.0,16.0,78.0,41.0,1
126,Austria,3,1,Switzerland,0,-545.0,-198.0,-220.0,-127.0,-773.0,-866.0,-8.0,0.0,-4.0,-4.0,-7.0,-17.0,1
127,Scotland,2,5,Wales,0,-267.0,-48.0,-164.0,-55.0,-200.0,-523.0,18.0,3.0,11.0,4.0,21.0,37.0,3
128,Hungary,2,1,Germany,0,-581.0,-388.0,-68.0,-125.0,-1441.0,-496.0,-77.0,-52.0,-8.0,-17.0,-139.0,-68.0,1
129,Switzerland,2,1,Sweden,0,424.0,140.0,193.0,91.0,598.0,759.0,-14.0,-7.0,-2.0,-5.0,-30.0,-9.0,1
130,Wales,0,0,England,0,-291.0,-345.0,135.0,-81.0,-1338.0,161.0,-64.0,-28.0,-18.0,-18.0,-87.0,-60.0,2
131,Germany,0,2,Netherlands,0,106.0,113.0,-19.0,12.0,370.0,56.0,59.0,40.0,11.0,8.0,140.0,77.0,3
132,Uruguay,1,2,Brazil,0,-47.0,-203.0,132.0,24.0,-647.0,259.0,-53.0,-49.0,2.0,-6.0,-142.0,-31.0,3
133,England,4,3,Austria,0,726.0,481.0,65.0,180.0,1793.0,501.0,40.0,17.0,6.0,17.0,48.0,17.0,1
134,Wales,4,1,Northern Ireland,0,373.0,164.0,136.0,73.0,544.0,409.0,-8.0,-2.0,-4.0,-2.0,-9.0,-19.0,1
135,Belgium,1,6,Austria,0,504.0,250.0,142.0,112.0,964.0,706.0,19.0,8.0,6.0,5.0,25.0,25.0,3
136,Italy,3,1,Germany,0,-517.0,-343.0,-106.0,-68.0,-1402.0,-629.0,-26.0,-22.0,-5.0,1.0,-98.0,-48.0,1
137,Uruguay,2,1,Argentina,0,-69.0,-128.0,84.0,-25.0,-386.0,115.0,-25.0,-19.0,-3.0,-3.0,-50.0,-19.0,1
138,Netherlands,0,2,Switzerland,0,-27.0,110.0,-134.0,-3.0,437.0,-363.0,13.0,15.0,-6.0,4.0,36.0,-16.0,3
139,Portugal,1,0,Hungary,0,323.0,184.0,54.0,85.0,515.0,186.0,-2.0,-1.0,-4.0,3.0,-38.0,-22.0,1
140,Argentina,4,1,Uruguay,0,69.0,128.0,-84.0,25.0,386.0,-115.0,25.0,19.0,3.0,3.0,50.0,19.0,1
141,Belgium,2,3,Italy,0,397.0,172.0,181.0,44.0,786.0,776.0,-35.0,-25.0,2.0,-12.0,-60.0,-5.0,3
142,France,0,4,Austria,0,557.0,318.0,114.0,125.0,1042.0,602.0,37.0,22.0,6.0,9.0,77.0,30.0,3
143,Netherlands,1,2,Hungary,0,475.0,275.0,87.0,113.0,1071.0,440.0,18.0,12.0,-3.0,9.0,-1.0,-9.0,3
144,Switzerland,3,3,Belgium,0,41.0,-52.0,78.0,15.0,-191.0,160.0,-11.0,-8.0,-2.0,-1.0,-18.0,-8.0,2
145,Germany,3,3,France,0,67.0,103.0,-47.0,11.0,538.0,-43.0,43.0,33.0,3.0,7.0,106.0,48.0,2
146,France,3,0,Belgium,0,53.0,68.0,-28.0,13.0,78.0,-104.0,18.0,14.0,0.0,4.0,52.0,5.0,1
147,Scotland,2,1,England,0,-558.0,-393.0,-29.0,-136.0,-1538.0,-362.0,-46.0,-25.0,-7.0,-14.0,-66.0,-23.0,1
148,Spain,3,0,Portugal,0,50.0,93.0,-53.0,10.0,313.0,-120.0,33.0,16.0,8.0,9.0,50.0,37.0,1
149,Switzerland,0,3,Italy,0,438.0,120.0,259.0,59.0,595.0,936.0,-46.0,-33.0,0.0,-13.0,-78.0,-13.0,3
150,Belgium,1,3,Netherlands,0,-14.0,-58.0,56.0,-12.0,-246.0,203.0,-2.0,-7.0,8.0,-3.0,-18.0,24.0,3
151,France,1,0,Spain,0,141.0,8.0,114.0,19.0,75.0,473.0,3.0,4.0,1.0,-2.0,21.0,5.0,1
152,Yugoslavia,1,1,Spain,0,-504.0,-327.0,-59.0,-118.0,-1063.0,-318.0,-26.0,-14.0,-5.0,-7.0,-39.0,-26.0,2
153,Netherlands,1,2,Belgium,0,14.0,58.0,-56.0,12.0,246.0,-203.0,2.0,7.0,-8.0,3.0,18.0,-24.0,3
154,Switzerland,4,1,Yugoslavia,0,633.0,215.0,279.0,139.0,869.0,1055.0,0.0,-4.0,4.0,0.0,-10.0,18.0,1
155,Italy,1,1,England,0,-619.0,-403.0,-104.0,-112.0,-1615.0,-571.0,14.0,16.0,-2.0,0.0,37.0,13.0,2
156,Switzerland,0,4,England,0,-181.0,-283.0,155.0,-53.0,-1020.0,365.0,-32.0,-17.0,-2.0,-13.0,-41.0,0.0,3
157,Spain,13,0,Bulgaria,0,452.0,336.0,13.0,103.0,1127.0,206.0,37.0,27.0,3.0,7.0,77.0,19.0,1
158,France,1,1,Wales,0,122.0,182.0,-86.0,26.0,587.0,-60.0,61.0,33.0,18.0,10.0,116.0,73.0,2
159,Poland,0,1,Belgium,0,60.0,14.0,-3.0,49.0,22.0,-62.0,-14.0,-4.0,-6.0,-4.0,-22.0,-27.0,3
160,Australia,4,2,New Zealand,0,401.0,244.0,62.0,95.0,955.0,284.0,10.0,2.0,7.0,1.0,9.0,17.0,1
161,Czechoslovakia,4,0,France,0,-629.0,-323.0,-174.0,-132.0,-1136.0,-819.0,-36.0,-23.0,-5.0,-8.0,-76.0,-32.0,1
162,Austria,4,1,Belgium,0,-504.0,-250.0,-142.0,-112.0,-964.0,-706.0,-19.0,-8.0,-6.0,-5.0,-25.0,-25.0,1
163,Denmark,2,2,Norway,0,533.0,299.0,127.0,107.0,1124.0,543.0,12.0,7.0,3.0,2.0,23.0,18.0,2
164,Australia,6,4,New Zealand,0,401.0,244.0,62.0,95.0,955.0,284.0,10.0,2.0,7.0,1.0,9.0,17.0,1
165,Sweden,2,3,Denmark,0,-439.0,-228.0,-128.0,-83.0,-886.0,-548.0,31.0,10.0,13.0,8.0,50.0,47.0,3
166,Australia,4,2,New Zealand,0,401.0,244.0,62.0,95.0,955.0,284.0,10.0,2.0,7.0,1.0,9.0,17.0,1
167,Poland,4,3,Yugoslavia,0,652.0,281.0,198.0,173.0,1082.0,833.0,-3.0,0.0,0.0,-3.0,-14.0,-1.0,1
168,Hungary,3,0,Switzerland,0,-502.0,-165.0,-221.0,-116.0,-634.0,-803.0,-5.0,3.0,-3.0,-5.0,37.0,-7.0,1
169,Yugoslavia,2,2,Switzerland,0,-633.0,-215.0,-279.0,-139.0,-869.0,-1055.0,0.0,4.0,-4.0,0.0,10.0,-18.0,2
170,Wales,3,2,Scotland,0,267.0,48.0,164.0,55.0,200.0,523.0,-18.0,-3.0,-11.0,-4.0,-21.0,-37.0,1
171,Silesia,1,2,Poland,0,-809.0,-348.0,-253.0,-208.0,-1377.0,-1084.0,-34.0,-16.0,-13.0,-5.0,-46.0,-45.0,3
172,Denmark,2,0,Finland,0,574.0,334.0,123.0,117.0,1246.0,563.0,20.0,9.0,6.0,5.0,30.0,26.0,1
173,Northern Ireland,0,3,England,0,-664.0,-509.0,-1.0,-154.0,-1882.0,-248.0,-56.0,-26.0,-14.0,-16.0,-78.0,-41.0,3
174,Poland,1,2,Czechoslovakia,0,636.0,269.0,199.0,168.0,1080.0,861.0,4.0,5.0,-1.0,0.0,2.0,0.0,3
175,Germany,8,1,Belgium,0,120.0,171.0,-75.0,24.0,616.0,-147.0,61.0,47.0,3.0,11.0,158.0,53.0,1
176,Switzerland,2,2,Romania,0,599.0,226.0,259.0,114.0,950.0,1018.0,16.0,4.0,9.0,3.0,20.0,32.0,2
177,Northern Ireland,1,1,Wales,0,-373.0,-164.0,-136.0,-73.0,-544.0,-409.0,8.0,2.0,4.0,2.0,9.0,19.0,2
178,Germany,2,2,Norway,0,597.0,434.0,39.0,124.0,1643.0,447.0,101.0,65.0,19.0,17.0,219.0,117.0,2
179,England,1,2,Wales,0,291.0,345.0,-135.0,81.0,1338.0,-161.0,64.0,28.0,18.0,18.0,87.0,60.0,3
180,Switzerland,0,2,Germany,0,-79.0,-223.0,153.0,-9.0,-807.0,307.0,-72.0,-55.0,-5.0,-12.0,-176.0,-61.0,3
181,Belgium,2,2,Denmark,0,-56.0,-36.0,-13.0,-7.0,-97.0,51.0,28.0,11.0,13.0,4.0,38.0,46.0,2
182,Germany,1,0,Poland,0,60.0,157.0,-72.0,-25.0,594.0,-85.0,75.0,51.0,9.0,15.0,180.0,80.0,1
183,Italy,5,2,Switzerland,0,-438.0,-120.0,-259.0,-59.0,-595.0,-936.0,46.0,33.0,0.0,13.0,78.0,13.0,1
184,England,4,1,France,0,169.0,163.0,-49.0,55.0,751.0,-101.0,3.0,-5.0,0.0,8.0,-29.0,-13.0,1
185,Netherlands,0,1,Austria,0,518.0,308.0,86.0,124.0,1210.0,503.0,21.0,15.0,-2.0,8.0,43.0,1.0,3
