review_text,review_score
"The biggest weakness of Monaco is the simplicity of its gameplay – it’s a trivial, almost mobile game. I recommend playing it in a 4 players co-op mode, where the low difficulty level and simple rules are not so bothersome. [CD-Action 07/2013, p.78]",7
"It has a unique look and premise, and while some of its gameplay mechanics are a little shallow, everything works well enough together to make it a worthwhile purchase, especially at its $20 price tag. So put on a mask and prepare to go gambling, but beware of talking fish. They have evil hearts.",8
"The perfect arcade classic package for hardcore retro gamers, parents looking for something simpler and less disturbing for kids and, of course, thirty-somethings looking to recapture a little of their past glory.",8
"Stays true to the spirit of the old Heroes of Might & Magic games. There are some gameplay innovations, most of which are good, but basically it feels very familiar. Whether this is good or bad depends on the player, but overall Heroes VI is a fine specimen of an almost extinct genre. [Nov 2011]",9
"Hard West 2 is a solid experience despite some shortcomings and missed opportunities. Ice Code Games crafted a unique and action-packed combat system while retaining much of what makes this type of strategy game so engaging. It may not have the production values or depth of either XCOM or Gears Tactics, but Hard West 2 still manages to be an addicting and satisfactory turn-based strategy experience.",7
"I haven’t played the first This Is The Police, but I can’t help but feel like the sequel simply adds too much. The game feels like it needs to refocus on the day to day policing and the small storylets that accompany it, which are great. Unless the message is that running a police department is an impossible task, in which case: mission accomplished.",5
"Hopefully next time APF will be a fully functional game, so we can focus our complaints on the important issues, like how in the world Bubby Brister made anyone's list of 'legends.'",8
"Super Monkey Ball: Banana Mania marks a return to form for the series, even if I am left hoping that we receive some substantial content updates in the near future to fill in gaps left from the originals. Fans who need an exact recreation of the originals or require challenge mode multiplayer might want to skip this one or wait for a deep discount, but those who just want to play Super Monkey Ball 1 and 2 again or the first time should absolutely pick this one up on Switch, especially if you enjoy playing on the go. While there is still a bit of work to do, Super Monkey Ball is back, and it’s a great feeling. I strongly recommend you don’t miss out on this one.",8
"A great party game, that'll keep a party going with its variety of nutty mini-games. As with any Kinect game, it has its foibles, but get some friends around and you'll have a blast. The only downside is an issue of longevity, as once you've exhausted the mini-games, you're unlikely to go back.",7
"SBCGfAP is packed with little extras and mini-games, although none provide more than a few minutes of diversion. The real fun is discovering all of the inside jokes from the series plastered throughout.",7
"Claymore Game Studios realized what made the original Commandos games so great, retained the heart and soul, and sanded off all the prickly edges. Commandos: Origins is a love letter to the originals in everything it does. The mechanic-heavy sandbox gameplay, the unique cast of commandos, the gorgeous environments, and the level design, all of it coalesces into an experience that is contemplative and intense. It’s a brilliant and challenging strategy game. And doesn’t it feel damn good to punch Nazis?",9
"Sure, the improvements to the heat level are fantastic, and it’s great to have a game that has really solid handling and physics, but it would have been nice to see the series break a little more new ground.",7
"Ghost Trick is a little bit linear and drive the player into the epilogue without difficulty, but it is one of the most articulate, engaging and funny adventure published in recent years for Nintendo DS.",8
"Track Lab is an original and unique game. It is not the best puzzle game you will play, the editor is limited and rudimentary. Nevertheless, music lovers will find it fun and interesting.",7
"Lego City Undercover nails the best aspects of open world games in its own way, and with the inclusion of Lego building mechanics, it feels enough like its own thing rather than a sanitized version of an existing thing.",9
"Even if you’ve exhausted all other options and are desperate for another turn-based strategy game on PS4, don’t give the sluggish, buggy and downright ugly Jagged Alliance: Rage a second thought. XCOM 2 this most certainly isn’t.",4
"Even though Wings over Europe has a lot of stiff competition from other games, I can’t seem to get the odd ‘leaning at 90 degrees’ sensation out of my head. There’s always a new trick or manoeuvre to attempt in a different mission in a different plane. Maybe someday I’ll figure out how to drop bombs.",7
"Many puzzle games these days try to hold your hand too much, but The Sojourn certainly does not. At the same time this beautiful and serene atmosphere ensures that you don't get too frustrated.",8
"Aside of being visually remarkable, Oil Rush is a clever and elegant strategy game that combines RTS and Tower Defense mechanics to create an interesting hybrid, not as demanding as a RTS, but more active and dynamic than TD, reaching an attractive and very well executed middle point.",8
A great way to enjoy the original game but now with all content included and the portable option. A great success in technical terms that sadly didn't take advantage of the Switch's touch screen.,8
"I just wished that Fatshark had tried to be as original in the gameplay as they have in the visual direction. At times, it just felt like I was playing a mod, and depending on how you look at it that’s either the biggest compliment or the absolute worst thing I could say about Vermintide.",8
"While this isn't my personal choice for a MOBA, I think it is a great take on the arena-styled MMO. You may find like me that the matches should be longer, but it will give you hours of enjoyment and if this is your game you could find a niche in a clan too. If you enjoy leveling up and progressing your character this is the wrong game for you. However, if you like to immediately jump into the thick of the action and climb a mountain of corpses to reach your victory, then Bloodline Champions has plenty to love.",8
"Filled with a relaxing soundtrack and delightful minimalist visuals, Ovivo is a mellow game that has a feeling of whimsy across its world. While the presentation may be a bit lacking, this game is a unique treat in the platformer genre.",8
"For those of you looking for a PC title to hone your poker playing skills then this may not be a bad title for you. If you are looking to play with other people, then I suggest getting a few of your friends together and playing around the table with some real cards, nothing beats the real thing.",8
"A great addition to any GBA collection...While there may be instances where the lack of a vertically scrolling screen can unfairly get you killed, the quality of the game's other elements is ample compensation for this annoyance. [Nov 2004, p.117]",7
"This remake changes that title – for the better, from a technical view – but that’s likely to mess with fans’ nostalgic tendencies and will confuse returning players at points. But, for anyone playing Majora’s Mask for the first time, this is an extremely refined reworking of a game which would likely feel archaic and broken if released again in its original state.",9
"Pac-Man might not be your typical platforming protagonist, but he’s earned his chance to shine – and Pac-Man World Re-Pac certainly gives him that opportunity. This remake of a forgotten gem has “wholesome fun” written all over it thanks to its bright and bold art style, its well-designed levels and its wealth of collectibles waiting to be hoovered up. If you’re a 3D platforming fan, make sure this is on your radar.",7
"FC 25 is an enjoyable, yet unexciting entry with welcome additions such Rush and big updates to Manager Career. Those expecting notable changes anywhere else will be left disappointed, though there’s more than enough here to keep the annual title kicking along.",8
"If you were a fan of the first Darksiders, then this is definitely a worthy sequel that you should enjoy. However, if you are new to the series I would advise reading up on the first one a little so the story isn't too confusing before you pick it up. Either way, if you enjoy a dungeon crawling adventure game with RPG elements, then I can easily recommend you grab a copy of Darksiders 2 and embrace Death, with just a few reservations.",8
"Majora’s Mask is an odd one, but it’s a legendary game from Nintendo’s library, and one that deserves a rerelease. With its graphical improvements and system enhancements, one of the best Zelda games is even better this time around — and that’s really saying something.",10
"Foretales is a distinctive and entertaining card-based narrative adventure. The game mechanics that blend exploration, resource management, and combat are always intriguing and varied, if occasionally a bit more complex than they should be. Plot, characters, and setting are interesting to discover, and the game structure is designed to make replaying over and over enjoyable.",8
"After Us is an atmospheric platforming adventure that leaves you thinking about the beauty in extinction rather than the horrors. With slick controls, appealing environments to explore and a tranquil nonintrusive soundtrack, fans of titles like Journey will likely enjoy the exploration of a surreal and desolate world of post-human life.",8
"Warhammer 40,000: Kill Team is a nice twin analog shooter, packed with good graphics, four different units to choose and a lot of weapons and upgrades. What a pity the game has no online multiplayer and only five levels.",7
"As a movie port using the oldest recipe in the book, Constantine is about as average a game as you can get, which is actually better than most licensed translations. Neither Heaven nor Hell, Constantine is merely a short stay in Purgatory.",4
"Some games run into problems trying to be everything to everyone, but SimCity Creator suffers from the opposite affliction. It doesn’t try to be anything to anyone. Well, that’s one thing it does right.",5
"It’s a broken game, unfinished, derivative and sloppily produced, filled with uninteresting environments and levels. A pirate’s life is supposedly full of action and adventure, but you’ll find none of it here.",3
"The great level design, intense combat setpieces, and the incredibly depressing design aesthetic are all top-notch. It's a prime example of great execution elevating a tired premise.",8
"Hard West 2 lives in the same weird supernatural world and displays the same shoddy workmanship as the original game, but lost a lot of variety. One boring playthrough is the limit.",6
"Does the “Zeldalike” genre exist? If it does, Rogue Heroes would be the perfect example: easy to pick up, but deep and complex enough if you try to go for 100% completion, with a top-down perspective view, pixel-art graphics and a story that leads us to travel in a big, hostile open world. While it does not achieve the excellence of its mentor, it stands out for it interesting gameplay choices such as the village management and an open world-oriented approach. To be played on your own digging up one secret after another, or in chaotic runs with up to three friends. Some repetitive sections and a few glitches only partially cloud what is overall a satysfying experience.",8
"Drakensang is a good roleplaying game: classic style, deep and with a nice plot. It has several problems with the management of the party but it's a surprise for those searching for an interesting game with a low price.",8
"It's easy to control and is so lifelike in it's recreation of the card game, that I wouldn't be surprised if the hardcore Yu-Gi-Oh! fans chuck their card books and play with their DS' instead.",8
"This is a game that puts the racing experience front and center. The physics model of the pros at Milestone is a piece of art that has only matured over the years. The sensation of speed might not be there yet and the console versions' 30 FPS are an issue, but the handling of the bikes is almost perfect.",8
"Part Time UFO is the best game I've ever played where you control an alien ship while completing mundane tasks. Okay, that didn't sound like a glowing endorsement but it is a cool little game and it's even more fun when you play it with a chum.",7
"Tech Support: Error Unknown features a mix of Papers Please! gameplay mechanics and Orwell gameplay and mechanics. It does not innovate but it manages to convey the angst of working as IT support, especially for an evil mega-corp.",7
"There is so much more I want to say, but I do not want to ruin any part of this experience. Being such a huge fan of the original game, I could not be happier with how this sequel turned out. After being lukewarm on the first entry, this one squashes all my concerns and doubts about this remake.",10
"There's not much in the way of weapon or enemy variety, and the game is pretty short, but just about every minute of it is action packed. The dynamic difficulty system works very well.",8
"The game welcomes you to historical Warsaw surrounded by esoteric beings. If you are not afraid of them, you can tame them. Expect a rich story and dialogue, but the combat won't be for everyone.",7
"There was so much potential in Criminal Girls: Invite Only to be a transgressive, unique experience, but sadly, narrative missteps limit it from ever realising that potential. Instead what we have is a genuinely entertaining and original combat, and a minigame that, were Criminal Girls to be a higher profile release, would have been controversial indeed.",7
Call of Juarez: Bound in Blood is one of those games that has “cult hit” written all over it – maybe it won’t hit critical mass with a general audience but those that appreciate a good shooter and a well-told story should be happy.,8
"On one hand it blends two really good ideas with slightly sloppy gameplay to create a game that is more frantic than fun. On the other hand, the complex combo system allows you to get an experience unlike anything else on the DS. That is to say, when it works, it really works well.",7
"The original and bold, Call of Juarez draws you into it’s brutally clichéd Wild West adventure complete with a fun online mode, interesting story, gritty violence, and authentic gun play.",8
"The first non-Japanese-developed Ridge Racer borrows heavily from games like Burnout and Need for Speed to deliver an enjoyable and full-of-adrenaline racing experience. It's not the best racer out there, but it can be fun!",7
"A beautiful story and compact gameplay of this game are spoiled by some technical issues and by a lower difficulty level. Thanks to its dynamic fighting system, its absence of grind mechanics and because the mix of those two is easily understandable, this Japanese RPG game is perfect not only for the newcomers to the genre, but also to those players, who wish to mainly enjoy the story, and who wish to take a break from long and hardcore games.",8
"A decent brawler, even if way too similar to Cyberconnect's Naruto series. Some interesting changes to the mechanics make this a fun fighting game, but it's definitely not a technical one nor amongst the most original.",7
"With no game like Tropico 5: Penultimate Edition available for Xbox One, fans of the genre should definitely give the game a look. It makes for a good summer game as you build and develop an island colony during your downtime and prepare for your presidential run in 2020.",8
"Hell Yeah! Wrath of the Dead Rabbit is definitely worth the 15 euros. The story line, side-missions and Achievements/Trophies will keep you busy for a good 15 hours or so. Rabbit Ash might not be very innocent, despite that, he's the crazy awesome superstar of Hell Yeah!",8
"This type of design is an infuriating and transparent attempt to pad out the length of the game by making simple quests take longer to complete. Worse still, the occasional need to fire off a spell or two is entirely governed by Akko’s magical potion supply, which can only be replenished by spending money earned by repetitively grinding dungeon battles. It breaks my heart that Little Witch Academia: The Chamber of Time turned out the way it did, because the aesthetic success is undeniable, as is APlus’ attempt to design something that functions on a deeper level than just delivering fanservice.",5
"The First Berserker: Khazan is a solid Soulslike that just doesn’t do anything special. Even though the developers do a good job creating skill trees to match each weapon, there’s a serious lack of variety when it comes to the arsenal and attributes. On top of that, while the bosses are a treat to fight, being a significant challenge that evolves with the story, the same can’t be said about the mission structure. These are lacking functionally and artistically in their design, creating less-than-compelling locales to fight through. Despite all of our issues with The First Berserker: Khazan, it still scratched an itch that many Soulslikes haven’t been able to.",7
"Quarrel is a masterful combination of classic tabletop war gaming and wordsmithing. For those that enjoy the domination gameplay of Risk but recoil at the overly random nature of dice rolls, Quarrel is worth a look. If you're a word nerd that is looking for a competitive experience that is fresher than Words with Friends, this is the game you've been waiting for.",9
"There's very little to like in this package. With a backbone as strong as How to Train Your Dragon, there shouldn't have been much of a problem creating a fun game for children with the license.",8
"The original Superhot was a truly unique experience, masterful in its execution of a simple concept. Mind Control Delete loses some of the novelty of the original but succeeds in exploring new ways to make the game fun. It's a great example of “if it ain’t broke, don’t fix it,” and while some will lament the loss of hand-crafted levels, most should be happy with the endlessly-replayable collection of content now in their hands.",9
"It would be easy to give Rayman Raving Rabbids 2 an easy time simply because it's on the Wii and is a mini-game collection, but when the original game is a far more impressive game, Rabbids 2 has nowhere to hide.",5
"The tongue-in-cheek Cold War-era humour is preferable to Cities XL's hard-faced exterior, but Haemimont's skill in masking the behind-the-scenes mechanisms pales in comparison to Mote Cristo's effort. [Dec 2009, p.118]",6
"If you are a fan of the series and can handle some of the hang-ups found in this latest chapter then by all means snatch it up, I know I could use more people online to play with. However, most FPS gamers looking for the next best thing will find Payback a bit too much on the derivative side to warrant its full price tag.",6
"Bottomline, all things considered, if you’re looking for a fun, fast, short-lived, throwback FPS game, Hellbound is definitely worth considering. Just don’t expect too much out of it and you’ll find your time and money well spent.",6
"Though hard to grasp for the uninitiated, Telltale's Game of Thrones is a truly meaty addition to the established tale, creating a gut-twisting fantasy drama that will leave you feeling absolutely awful, just like Game of Thrones should.",9
"Melbits World offers an experience that can be attractive to a family, specially to children. Despite some flaws and although it has no replay value, it represents an interesting option for gatherings and leisure time.",8
"Pikuniku's minimalistic visuals, wacky humour, overall happy vibe, light collect-athon mindset, and simple gameplay mechanics, make it a good pick for those who just want to kill an evening or two with something that's fun, but not that demanding. Sadly, there's a severe lack of content at hand, which is surprising given the length of it all.",6
"Outside of the glaive, the game boasts little that feels original, although Hayden’s sprinting ability is intentionally difficult to control, which adds makes the simple act of running more challenging.",7
"The combat, gameplay structure and presentation appears very recognizable as it is in line with other games in the genre. The lack of variety in environments is a shame in this regard, but in return you get a strong visual style, engaging different fighting styles, exciting boss fights, strong audio and much more. Recommended.",8
"If four players do a round of You're in the Movies, a round will take approx. 30 minutes of time. It is an entertaining game, but there are some technical problems concerning shadows, light and distance. Another problem is that the mini games get boring after a short time.",7
"In the end, The Sexy Brutale is a fascinating murder mystery game. The indirect methods that are used to obtain clues and solve each murder are different from other games in the genre. Though you may be able to stumble upon the solution for a murder or two via dumb luck, the game rewards you for careful observation to the audio and visuals. If you can overcome the keyboard/mouse controls in lieu of a control pad, you'll find The Sexy Brutale to be a game that genre fans need to check out.",8
"Mega Man Star Force Pegasus is the proverbial Yin/Yang. The combat - the true essence of Mega Man - is engaging and complex if you want it to be, and can best be described with one word: fun. The battle cards, albeit contrived, add a nice flavor to the game and building your deck to suit your style is quick and easy. But the other side, the story and accompanying cut scenes, have the ability to rip you right out of the game to look for something else to play.",6
"Need For Speed Unbound is easily one of the best racers I’ve played in recent years and a modern highlight of the series. Through great gameplay, a true sense of progression, an engaging visual style, and a well-crafted open world the game manages to cement itself as one of 2022’s most unexpectedly shining stars. A few knocks for cliché story beats, a samey soundtrack, and a few minor bugs shouldn’t be enough to keep players from driving over to the streets to Lakeshore for some stylish, speedy fun.",8
"So. It's GTA. On the GBA. But… it's just not GTA. Not really. Like Max Payne Advance before it, what you're getting is a watered-down experience, but still the closest thing you're going to get on the handheld (if that counts as a plus-point).",7
"Despite the technical limitations, SimCity 2000 remains an enjoyable, challenging way to pass the time. It isn't the direct conversion I'd hoped for, but for twenty bucks, it's plenty sufficient to the task.",7
"As much as I appreciated the shift away from the crime investigation premise of Assassin's Creed Unity, sending Arno on a mere fetch quest turns Dead Kings into the blandest kind of open-world adventure, in which a man who used to be a hero is reduced to a mere errand boy.",5
"Taken as a whole, however, Valkyria Revolution just doesn't come together as well as it should. Between the poor story presentation, AI issues, and numerous superfluous systems that add little to the experience, it feels like the game needed a bit more time and planning for all of its ideas to properly congeal. While Valkyria Revolution offers some enjoyment, you're going to have to wade through the trenches to get there.",6
"Lips: Party Classics doesn’t really do anything to expand the series in any way, but unlike most music games features a track list which is probably one of the best to grace such a game, of course it’s all down to taste but with something on offer to cover most players music choice the game should prove to be a hit at any party.",8
"Age of Empires Definitive Edition manages to fulfill its function as a remaster. The graphics and the sounds are truly a delight, and there are some small playable improvements as well, but these are weighed down by the AI and a pathfinding system which still does not behave as well as it should.",8
"The best atmosphere since the days of Underground and Carbon. We love his visual and sound excesses and all the new ideas (the structure of the story mode, its surprising difficulty and its renewed and slow progression system). Control continues without convincing us (just Heat 2.0), but this is the way. Unbound gives us hope in the NFS saga.",8
"Ghost Song is a very enjoyable addition to the Metroidvania subgenre. It maybe lacks a little bit of originality to help it stand out from its contemporaries in a rather crowded market, but the game does provide a very enjoyable experience. With an atmosphere and story that are haunting and interesting to explore, there are plenty of reasons to delve into the dangerous world of Ghost Song.",8
"Hoshigami Remix isn’t a game we’d recommend for too many players. It can be difficult, complicated, and relatively uninspired when it comes to the overall out-of-battle experience.",6
"Other than the lack of online multiplayer, New Super Mario Bros. Wii is exactly what you want it to be. It’s a great mix of new and old, and though it’s not exactly innovative, playing though the game is just sheer fun.",9
"As a sequel, you’d be hard-pushed to track down a game that is as brilliantly structured, nurtured and evolved as Gears of War 2. With a ruthlessly enthralling pace and variation of set pieces, this is an effortlessly superb package. I haven’t enjoyed a game as much as this since Call of Duty 4: Modern Warfare, which is surely one of the greatest compliments a title can get.",10
"Calling is an interesting adventure in J-Horror style. There's atmosphere and some nice ideas, although the gameplay is sometimes missing something, and not every situation in the game feels impressive. Worth at least a try, if you're a big horror fan, but don't expect much.",5
"If you're a college football fan, NCAA Football 06 is the game you've been waiting for your whole life. It might even be the best football game ever made, professional or collegiate, which, given the competition for the title, is really saying something.",10
"The consistent delivery of these references complement the story's comedic dialogue and sight gags. You can tell the game's writers are fans of the Police Squad! TV show and movie series. None of the jokes feel forced or drawn out, which helps keep the cutscenes concise and well-paced.",8
"Burning Skies isn't a failure by any means. While the visuals won't sell you on the console's power like Uncharted: Golden Abyss, the campaign is filled with the big boss fights and unique weaponry you expect from the series. As long as you're not hoping for a console-quality multiplayer experience, Burning Skies should satisfy fans.",7
What you see is what you get with the Mortal Kombat Arcade Kollection. This includes the touchy controls and difficult AI. These are pure emulations of the very same arcade games that first arrived on the scene almost two decades ago.,6
"Not since ""Zeus: Master Of Olympus"" have the gods smiled so benignly on RTS worshippers, and for new adorers and regular acolytes alike, Age Of Mythology is a revelation &#150; this is a must for followers and atheists alike.",8
"Hell Yeah! certainly stands out enough to be very memorable, but it's also wildly inconsistent. The game starts off strong and there are chunks of fun to be had across the campaign, yet some noteworthy annoyances - including lengthy load times - prevent it from gathering momentum and delivering an all-around satisfying and enjoyable platformer. The potential is clearly there, but not quite fulfilled.",6
"Great gameplay and a humorous, well-written plot are more than enough to help LEGO City Undercover overcome some of the franchise’s lingering technical flaws, making it one of the few worthwhile experiences on the Wii U.",8
"Spilled! is, in sum, an educational game whose ""game"" half doesn't work as well as it should, but it still deserves a fair shot. With the debate around the Earth's health being polarised as it is, it is important that there exist works that aren't afraid to show audiences what a lack of sustainable development does to the place we all live in.",7
"Apart from some death-by-bad-camera-angle moments and a few aggravating perfection-focused “challenge” sequences, Marlow Briggs is enjoyable enough. Just don’t expect to remember any of it next week.",6
"A few hairy moments in, and any attempt to get back under your skin is redundant. Mostly this is because the game's resident evil is largely incapable of harming you, and any sense of jeopardy is lost. [Apr 2010, p.97]",5
It would take ages to explain every element of Gremlins Inc. so I won’t try. My recommendation would be to get it yourself if you’re interested in strategy board games that you can play with your friends.,8
"It’s been twenty-seven years since Cloud, Aerith, and Tifa first left Midgar. Since then, their world — and ours — has changed significantly. It’s such a wonder, then, to be able to recreate that sublime experience of leaving Midgar for the first time during the opening of Final Fantasy VII Rebirth. This is the game that delivers on the promise of the Final Fantasy VII remake project. It’s a fascinatingly familiar yet unknown journey that is breathtaking and unforgettable.",10
"Keeping a quick pace helps to emphasise Fallen Legion's strengths and mitigate its weaknesses. There are times where the game's interesting flavour can't quite mask the lack of substance in certain areas, but despite this it remained enjoyable to play throughout. It's certainly a title worth checking out, and should provide a good few evenings worth of entertainment. Plenty of neat ideas and an interesting, if underutilised, world mark a solid debut title for the developer and put it in good standing for future titles.",6
"Persona 4: Dancing All Night is a real party from the beginning to the end. The music is amazing and the remixes of iconic pieces in the series are worth enough to acquire the title just to get them. The design of the interface, characters and stages are a visual delight. If only it had an engaging campaign mode with more depth in the characters it would be a perfect game.",8
"Final Fantasy VII: Rebirth is a phenomenally good video game. It has a habit for self-indulgence, but earns every pause with some shocking story moments, and some of the best combat I’ve experienced.",10
"By building the entire title around only seven mini-games, My Street doesn&#146;t have nearly enough depth to keep players occupied for extended periods of time -- even with online multiplayer support and a great character editor.",5
"It's tough to pull off a survival horror game that doesn't feature much combat, but that's no excuse for making navigation a chore and boring us to death. Wii owners who love pointing their flashlights around in the dark should stick with Silent Hill: Shattered Memories, or visit their local cemeteries after midnight.",5
"Wastelanders won't convince anyone who thought Fallout 76 was irredeemable to begin to believe otherwise, it's simply not enough of a marked improvement to wholesale change many people's minds. For those that left a sliver of a chance for redemption, however, it's one small, wobbly step in the right direction.",6
"Master Detective Archives: RAIN CODE Plus is an absolute blast. Each mystery kept me on the edge of my seat as I franticly tried to solve the case with my team of colorful, though sometimes insane, fellow detectives. There is a lot to love about Master Detective Archives: RAIN CODE Plus, and fans of mysteries and the Danganronpa franchise will fall in love with it.",9
"The game takes the approach of building a relatively small but highly detailed, rigorously simulated world. It prospers with this approach, instead of building a large world and filling it with copy-and-pasted material. Unfortunately, it bogs down often, either due to its poor interface or its puzzles that force you to spend way too much time trying to figure out what the developers where thinking when they designed them. In the end though, the positives outweigh the negatives, making Wuppo a game that is worth playing for the opportunity to explore its beautiful and immersive world.",7
"Dungeon Defenders: Awakened is a fun time, especially with others. But it doesn't have as much content as the game it's remaking yet, meaning that people still playing that one might be reluctant to move onto this version.",7
"There are bad games that anger me, and then there are bad games that just confuse me. Ephemeral Fantasia belongs in the latter column...I'll slide this one in the drawer and forget about it, while most of you shouldn't even give it that much attention.",4
"Diablo 2 Resurrected is what a remaster should be. Vicarious Visions has done an incredible job with what is the cornerstone of the Action RPG genre. A visual gem that still holds against any modern title. The gameplay hasn’t changed an inch, which is what the whole community wanted. More brutal than ever. An isometric Dark Souls to terrorize the new generations of gamers.",8
"The Hyperdimension Neptunia Re;Birth series has always been a potential-filled experience that ultimately disappoints, but the 3rd installment in the series passes right over the endearing and interesting elements of the game’s cut and paste formula for the most boring.",4
"A mediocre and out-of-date tactical game. Stupid AI, lack of immersion and no dynamic campaign or even smoke in the battlefield are not what you would call 'meeting today's requirements'. [June 2007]",7
"While Pikuniku is a light experience, it's got enough charm and verve to stick with you well beyond completion. From Piku's weird wobbly gait and looping jumps in the opening right through to the game's funny, bizarre ending, Pikuniku is more gripping than its simple aesthetic and playful tone would suggest. It'll make you feel like a kid again.",8
"This is Game of the Year material and an exceptional follow-up to a revered first entry. It handles the beloved material with care while still establishing its own new voice, making for a stellar sequel. This is Game of the Year material and an exceptional follow-up to a revered first entry. It handles the beloved material with care while still establishing its own new voice, making for a stellar sequel.",10
"It's Rock Band as usual, but its newly implemented Pro Mode shows that people who have been unchallenged so far can have their share of fun. Bundled with a whopping 2000 songs waiting for you optionally, this game could be worth a sin.",9
"Concord is an enjoyable shooter, kneecapped by a $40 price tag and a bland cast of characters. When it arrives on PlayStation Plus, which feels almost certain at this point, its worth picking up, but only with the enthusiasm you'd treat any other free-to-play fare.",6
"All in all, I'd say Alan Wake's American Nightmare is an easy pick for anyone looking for an action-heavy title with a horror twist. It's got the graphics, it's got the gameplay, it's got the diversity of weapons… all this plus a nice, dark story, for a very reasonable price. If pumping bullets into deadly, frenzied humans hasn't gotten old for you yet, be sure to check this one out.",9
"Hironobu Sakaguchi and Nobuo Uematsu team up again to make a Japanese RPG which can be easily considered one of the best in years. It succeeds in innovating in a lot of features, with a charming gameplay that works and is very fun. It also has an epic and well-told story. A must-have for fans of the genre.",9
"Age of Wonders 4 is a beautifully crafted 4X experience for players who like to dig deep and learn how to customize a game to fit how they like to play and be able to research through many varieties of choices and traits. The game offers some ways to simplify things for those who are more casual but definitely is something that someone could spend hours, days, and weeks digging into and still not be able to see everything the game has in its depths. While its overloaded amount of bookkeeping can prevent some enjoyment, what's here is more than satisfactory for the genre.",7
"As far as 4A Games is concerned, one can only be awe-stricken. With only 10% of the average western developer’s budget, they have managed to publish a stunning game, simultaneously on four platforms. The underdog has triumphed. [June 2013]",9
"A classic returning in a modern guise is never wrong, but technically it is far from perfect. The camera can be very annoying and also the gameplay is sometimes hampered by the difficulty in estimating depth of the levels. Other than that, the gameplay is entertaining enough on its own and the controls are thankfully very fine. A fine remake, but otherwise not very impressive or special.",6
Team Ninja have built upon what was already a solid and addictive foundation with an online integration which makes DoA:U the most complete fighting game package on any platform. [Score with Xbox Live],9
"Another great remaster for one of the most special Nintendo games. Dark, complex and challenging, the sequel to Ocarina of Time has an incredible side-quest system and this version adds some improvements like great 3D effects and better visuals.",10
